user_id,post_type,likes,shares,comments
ga97ag,reel,912,107,98
6aah4,static image,642,219,133
646ag,carousel,854,346,79
626ah27,reel,745,183,24
ga97ag,static image,198,3,138
6aah4,static image,859,130,170
646ag,carousel,957,236,16
626ah27,static image,283,127,55
ga97ag,static image,405,491,108
6aah4,static image,536,416,148
646ag,reel,458,266,79
626ah27,static image,284,174,69
ga97ag,static image,301,131,151
6aah4,static image,874,51,185
646ag,carousel,446,27,71
626ah27,reel,764,318,136
ga97ag,carousel,794,43,187
6aah4,reel,264,458,115
646ag,static image,407,416,55
626ah27,reel,157,111,41
ga97ag,static image,527,128,41
6aah4,reel,886,107,126
646ag,static image,551,114,68
626ah27,static image,164,188,48
ga97ag,static image,521,193,125
6aah4,reel,895,88,61
646ag,reel,858,457,83
626ah27,static image,839,465,184
ga97ag,reel,238,264,125
6aah4,reel,136,209,153
646ag,reel,150,280,154
626ah27,static image,913,143,187
ga97ag,carousel,720,346,84
6aah4,static image,335,483,138
646ag,reel,565,479,136
626ah27,reel,437,350,105
ga97ag,static image,676,450,18
6aah4,reel,139,293,44
646ag,reel,252,379,160
626ah27,reel,683,288,155
ga97ag,reel,577,70,92
6aah4,reel,150,90,139
646ag,static image,475,1,43
626ah27,carousel,820,492,188
ga97ag,reel,956,263,176
6aah4,carousel,313,367,167
646ag,carousel,320,350,76
626ah27,reel,248,342,102
ga97ag,carousel,121,255,7
6aah4,reel,595,431,84
646ag,reel,488,224,38
626ah27,reel,772,391,53
ga97ag,static image,306,463,41
6aah4,static image,541,162,86
646ag,static image,767,234,193
626ah27,reel,975,359,93
ga97ag,reel,33,463,26
6aah4,carousel,140,201,79
646ag,reel,875,213,178
626ah27,reel,970,152,134
ga97ag,reel,455,299,47
6aah4,reel,605,94,92
646ag,reel,320,237,23
626ah27,static image,755,93,133
ga97ag,static image,791,194,122
6aah4,static image,133,46,106
646ag,carousel,632,43,70
626ah27,reel,852,89,132
ga97ag,carousel,493,321,162
6aah4,static image,29,263,91
646ag,reel,189,18,192
626ah27,reel,621,46,75
ga97ag,carousel,64,194,166
6aah4,carousel,504,96,167
646ag,static image,924,218,150
626ah27,reel,60,496,113
ga97ag,carousel,732,357,100
6aah4,reel,677,55,98
646ag,static image,88,416,146
626ah27,static image,324,203,76
ga97ag,reel,381,327,105
6aah4,static image,167,432,56
646ag,reel,667,425,49
626ah27,reel,237,340,193
ga97ag,reel,91,32,96
6aah4,static image,173,363,112
646ag,carousel,45,287,195
626ah27,carousel,534,440,58
ga97ag,static image,731,454,80
6aah4,static image,703,411,46
646ag,static image,485,395,55
626ah27,reel,590,3,69
ga97ag,carousel,232,121,193
6aah4,static image,836,417,75
646ag,carousel,762,296,119
626ah27,reel,655,139,109
ga97ag,static image,492,1,95
6aah4,carousel,754,492,89
646ag,carousel,79,323,17
626ah27,static image,676,26,118
